Food,Calories,Carb (grams),Fat (grams),Protein (grams)
Bibimbap,79,8,2,5
Caesar Salad,151,11,11,4
Carrot Cake,363,35,25,4
Chicken Curry,164,13,8,12
Club Sandwich,257,23,12,15
Edamame,121,9,5,12
Fish and Chips,255,22,14,10
French Fries,161,28,5,3
French Toast,270,32,11,10
Fresh Spring Roll,140,24,3,6
Fried Calamari,175,8,8,18
Fried Rice,321,71,1,9
Grilled Salmon,103,1,4,18
Gyoza,151,25,4,6
Hot and Sour Soup,180,36,1,5
Hummus,237,15,18,8
Miso Soup,125,13,3,6
Omelette,100,9,4,8
Pad Thai,153,14,7,8
Peking Duck,265,0,21,19
Pho,88,10,2,6
Ramen,440,60,18,10
Samosa,308,32,18,5
Sashimi,160,3,9,15
Seaweed Salad,112,10,8,4
Spring Rolls,116,11,5,6
Steamed Mussels,171,7,4,24
Sushi,166,23,5,7
Xiao Long Bao,235,34,7,11
